invocation,cmd
"Print the current Unix timestamp in nanoseconds, calculate its MD5 hash, and print the first 10 characters of the hash.",echo `date +%s%N` |md5sum|cut -c1-10
"Find the current working directory and search for files with the extension "".sh"", then randomly sort them and display the first one.",find $(pwd) -name '*.sh' | xargs sort -R | head -n 1
"Cut the first field (separated by a comma) from the /dev/urandom file, translate the characters to only include a-z, A-Z, and 0-9, and output the first 32 characters.","cut -f1 -d',' /dev/urandom | tr -cd 'a-zA-Z0-9' | head -c 32"
Find all files with the extension .txt and execute the sort command on the first and second columns of each file.,find . -name '*.txt' -exec sort -n +1 -2 {} \;
"Randomly sort all files with the extension .txt in the current directory, take the first one, and copy it to the directory /new/location/.",sort -R "$(find -name '*.txt')" | head -n1 | xargs -I{} cp "{}" /new/location/
Find all files with the extension ".txt" in the root directory and replace all occurrences of "OldText" with "NewText" in each file.,`find / -type f -name "*.txt" -exec sed -i 's/OldText/NewText/g' {} \;`
"Find all files in the root directory, execute a sed command to replace all occurrences of the string $1 with the string $2 in all files and subdirectories.",`find / -type f -exec sed -i -e "s/[[:<:]]$1[[:>:]]/$2/g" {}\/\* ;`
"Find all files with the name ending in "".txt"" in the current directory and its subdirectories, and count the number of lines in each file.",find ~ -iname "*.txt" | xargs wc -l
Find a file with the name ending in ".txt" that has a random 16 character name generated from the /dev/urandom file.,find `cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 16 | head -n 1` -iname '*.txt'
"Run the command 'sudo find / -name' for each argument passed to xargs, replacing {} with the argument.",xargs -I {} sh -c 'sudo find / -name "{}"'
Find all files (not directories) that do not have a ".txt" extension and calculate the MD5 checksum for each of them.,find -type f ! -name '*.txt' | xargs md5sum
Find all files in the current directory with a ".txt" extension and make them executable.,find -maxdepth 1 -name "*.txt" -exec chmod +x '{}' \;
Find all files (type f) with size 0 and execute the command sed to delete all empty lines ('/^$/d') in each of them ('{}').,find ~ -type f -size 0 -exec sed -i '/^$/d' '{}' \;
Search for a 32-character alphanumeric string from the website http://urandom.ca/.,find $(curl -s http://urandom.ca/ | tr -dc '[:alnum:]' | fold -w 32 | head -n 1)
Print a random number between 0 and the number of files in the current directory.,echo $(ls | awk '{print int(rand()*NR)}' | head -n1)
Find the first word in the shuffled list of words in the /usr/share/dict/words directory that contains an exclamation mark.,grep '!' <(shuf /usr/share/dict/words) | head -n 1
Print a random character from the set "ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789!?@#$%^&*()-_=+[]{}" followed by 14 more random characters from the same set.,"`echo -n $(awk 'BEGIN{srand();printf ""%-s\n"", substr( ""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789!?@#$%^&*()-_=+[]{}"", rand() * 72, 1 )}{for(i=1;i<=14;i++) printf substr( ""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789!?@#$%^&*()-_=+[]{}"", rand() * 72, 1 )}' )`"
Find all files with the extensions .conf or .sh in the root directory and change their permissions to 755.,find / -name "*.conf" -o -name "*.sh" -exec chmod 755 {} \;
Send a request to the URL http://tldr-pages.github.io and display the first 5 to 10 lines of the response.,curl -L http://tldr-pages.github.io | head -n $(shuf -i 5-10 -n 1)
Source the output of a curl request to the Buzzfeed Worldwide Web Random Word API.,source <(curl "https://api.buzzfeed.com/worldwide-web/random-word")
Display the first random number of lines from the null device.,head -n $RANDOM /dev/null
Randomly select one word from the dictionary located in the /usr/share/dict/words directory.,shuf -rn 1 /usr/share/dict/words
Delete the file that is randomly selected from the current directory and all of its subdirectories.,rm -rf `find . -type f | shuf -n 1`
"Find a random file in the current directory, echo the file name, and run it with the shell.",`find | shuf -n 1 | sed -e 's/.*/echo "\0"/' | sh`
Find all files with the extension ".tmp" in the /tmp directory and delete them.,find /tmp -type f -name "*.tmp" | xargs rm -f
Find all files in the /usr/bin directory that are executable and list their details.,find /usr/bin -type f -executable -exec ls -ld {} \;
"Change the permissions of the most recently modified file in the current directory to allow all users to read, write, and execute.",chmod 777 $(ls -t | head -1)
Find all directories in the current directory and display their size in a human-readable format.,find . -type d | xargs du -sh
Search through all the files in the /usr/bin directory and print out any lines that contain the current minute (in two-digit format) as indicated by the date command.,shuf --echo /usr/bin/* | xargs grep -i '$(date +%M)'
The contents of the file that is randomly selected from the list of files in the current directory.,cat $(ls -1 | sort -R | head -n1)
Find all files with the extension ".sh" and search for the string "#!/bin/bash" in them.,find -name "*.sh" | xargs grep '#!/bin/bash'
"Send a request to the website ""random.org"" to generate one random string of length 20, with only lowercase letters, and no duplicates, in plain text format, using a new random seed, and then cut the first 20 characters of the response.",curl https://www.random.org/strings/?num=1\&len=20\&digits=off\&upperalpha=off\&loweralpha=on\&unique=on\&format=plain\&rnd=new | cut -c1-20
Find all files (type f) and execute the command "chmod ugo+x" on each of them.,find . -type f -exec chmod ugo+x {} \;
Find all files in the home directory and change the permissions to 777 for each file.,find $HOME -type f -exec chmod 777 {} \;
Find all files with the extension .py and execute the command to delete all lines starting with # in each file.,find . -name '*.py' -exec sed -i '/^#/d' {} \;
Find all files with the extension ".sh" and replace all occurrences of "$" with "$" using xargs and sed.,find . -name "*.sh" | xargs sed -i 's/\$/$/g'
"Find all files in the /usr/local/bin/ directory that contain the character '$', randomly select one of them, and display its name.",grep -rl '$' /usr/local/bin/* | shuf -n 1
"Take one random file from the current directory, and print the first line of that file.",shuf -rn 1 $(printf '%s\n' ./*) | xargs head -n 1
Find all files (-type f) and execute the command 'chown' on each of them (-exec chown {} \;).,find ~ -type f -a -exec chown {} \;
"Split the file /etc/passwd by the delimiter ':', take fields 2-4, replace the delimiter ':' with a tab character, and sort by the third field.",cut -d':' -f2-4 /etc/passwd | tr ':' '\t' | sort -k3
"Sort a random list of 8 character strings separated by spaces, then replace the spaces with colons, cut the second field of each string, and output the result to stdout.",cat <(cut -d ":" -f 2 <(tr " " ":" <(sort -R /dev/urandom | fold -w 8)))
Print the first byte of random data from the /dev/urandom device.,printf "$(od -An -N 1 -i /dev/urandom) "
"Find all files (-type f) in the current directory (~) and its subdirectories, count the number of lines (-l) for each file, sort the results in reverse numerical order (-rn) and display the top 5 results (head -n 5).",find ~ -type f | xargs wc -l | sort -rn | head -n 5
"Print the first line of a random word from the dictionary, chosen from a range of 1 to 1000.",head -n $(shuf -i 1-1000 -n 1) /usr/share/dict/words
Find all files in the /tmp directory that were modified within the last 30 days and delete them.,find /tmp/* -mtime -30 -exec rm -rf {} \;
Find all files in the root directory and its subdirectories that are larger than 1024 bytes and list their details using the long listing format.,find / -wholename '*/bin/*' -size +1024c -exec ls -l {} \;
Find all files in the /bin directory and delete them.,find /bin -name '*' -exec rm -f {} \;
"Sort the output of the command that replaces spaces with colons in the file ""file.txt"", then cut the first field delimited by the pipe character, and finally sort numerically based on the second field.",sort -nk2 <(cut -d'|' -f1 <(tr ' ' ':' <(cat file.txt)))
Find all files in the current working directory and replace all occurrences of "<" followed by any characters and ending with ">" with nothing.,find $(pwd) -name "*" | xargs sed -i 's/<[^>]*>//g'
Find all empty directories in the root directory and set their permissions to 644.,find / -type d -empty -exec chmod 644 {} \;
"Find all files in the /var directory, regardless of case, and execute the command ""chmod 664"" on each of them.",find /var -type f -iname "*.*" -execdir chmod 664 {} \;
"Find all files with the extension "".sh"" and for each of them, replace all characters that are not uppercase letters with the number ""2"" using the ""sed"" command.",find . -name '*.sh' | xargs -I {} sed -i 's/[^A-Z]/2/g' {}
Move the first randomly sorted text file found in the current directory to the home directory.,mv $(find . -name "*.txt" |sort -R | head -n1) ~/
Find all files with the extension ".txt" and search for the word "random" in them.,find -name "*.txt" | xargs grep "random"
Remove the last file in a randomly sorted list of files in the current directory and all of its contents.,rm -rf $(ls -1 | sort -R | tail -1)
"Send a request to ""http://example.com"" and print the HTTP status code, only if it is a 2xx code.",curl -sL -w "%{http_code}\n" "http://example.com" | sed -E -n '/2[0-9][0-9]/p'
Randomly select one file from the current user's home directory.,shuf -n 1 <(find ~/* -exec echo "{}" \;)
"Create a tar file (named with 8 random hexadecimal characters) and compress it with gzip, including all files in the current directory.",tar -cfvz $(head -c 8 /dev/urandom | od -An -t x1 | tr -d ' ').tgz *
Search for a string of 8 random alphanumeric characters in the file /usr/lib/libc++.so.1 and print the name of the file if a match is found (case insensitive).,grep -li `head /dev/urandom | tr -dc 'A-Za-z0-9' | head -c 8` /usr/lib/libc++.so.1
"Find all files (type f) and execute a grep search for the string ""foo"" in each file, then print the results.",find . -type f -exec grep "foo" {} \; -print
Move the output of the command "cat /dev/urandom | tr -dc A-Za-z0-9 | head -c${1:-32}" to a file named "temp.txt".,mv $(echo "$(cat /dev/urandom | tr -dc A-Za-z0-9 | head -c${1:-32})") temp.txt;
Randomly shuffle the numbers from 1 to 100 and print them all on one line without line breaks.,shuf -e $(echo {1..100}) | xargs echo $(tr -d "\n")
"Randomly select one file from the list of files in the home directory, excluding the current directory (.).",shuf -n 1 -e $(ls ~/ | grep -vxF ".")
Print a random number between 0 and 1 for a total of 100 times.,yes | awk 'BEGIN{for(i=int(rand()*100);i>0;i--)print rand()}'
"Find all files with the extension .txt in the root directory, cut the third field of the path, and convert all uppercase letters to lowercase.",find / -name '*.txt' | cut -d / -f3 | xargs tr [A-Z] [a-z]
Print out one random word from the /usr/share/dict/words file.,shuf -n 1 /usr/share/dict/words | xargs -I {} printf 'echo "{}"'
"""Random file:"": The command will print the name of a random file in the current directory.",find . -maxdepth 1 -name "*.*" -type f -printf "%f\n" | sort -R | head -n1 | xargs echo "Random file:"
Randomly output the contents of a file with a random name consisting of 48 characters from the /dev/urandom file into a .txt file.,shuf -o $(echo `cat /dev/urandom | tr -dc '[:graph:]' | tr -d ' ' | head -c${1:-48}`).txt
"Find all files in the current directory, shuffle them randomly, select one of them, and search for the pattern 'pattern' in it.",find ~ -type f | shuf -n 1 | xargs grep 'pattern'
List the contents of a randomly generated directory in reverse numerical order.,ls -R $(echo $RANDOM) | sort -rn
Delete all empty lines from the files listed in the output of the 'ls -l' command.,`sed -ie '/^$/d' $(ls -l | awk '{print $1}')`
Find all files in the root directory and change their permissions to 777.,find / -name '*' -exec chmod 777 {} \;
Find all files ending with ".txt" in the current directory and its subdirectories and delete them permanently.,find ~ -name '*.txt' | xargs rm -rf
Find all files (including those in subdirectories up to 3 levels deep) that do not have a ".txt" extension and delete them.,find . -maxdepth 3 -not -name '*.txt' -exec rm -f {} \;
h&#@_#_#_#_#_,echo $(head -c1M /dev/urandom | tr -dc "[:print:]"|head -c 16)
"Find all files ending with "".sh"" in the current directory and its subdirectories, and sort them in reverse order.",`find . -name "*.sh" | sort -ur`
Find all files with the extension ".pdf" in the entire file system and delete them.,find / -name '*.pdf' | xargs rm -rf
Replace all occurrences of "/bin/bash" with "/home/mybin/bash" in the file /etc/passwd.,sed -i "s:/bin/bash:/home/mybin/bash:g" /etc/passwd
Print the first (random number between 1 and 1000) lines of the file /usr/share/dict/words.,head -n $(awk 'BEGIN{srand(); print int(rand()*1000+1)}') /usr/share/dict/words
"Print a random string of characters with a length of 32 (or a specified length) from the range of 0-9, A-Z, and a-z.",echo $(cat /dev/urandom | tr -dc 0-9A-Za-z | head -c${1:-32})
"Find a file in the current directory, randomly sort the results, and display the first one.",find ~ -type f | sort -R | head -n 1
Randomly sort the files found in the '/usr/bin' directory and display the first one.,sort -R <(find '/usr/bin' -type f) | head -n1
"Find a text file in any directory, sort the results randomly, and display the first one.",find / -name '*.txt' -print | sort -u -R | head -n 1
Search for lines that start with a capital letter in the output of a command that generates a random 16-digit number.,grep -P '^[A-Z]' <(echo $(echo $(cat /dev/urandom | tr -dc '0123456789' | fold -w 16 | head -n 1)))
Find all files in the current directory with the extension ".txt" and execute the command "wc -l" on each of them.,find . -maxdepth 1 -type f -name "*.txt" -exec wc -l {} \;
Find all files and give the user write permission for each of them.,find . -type f -exec chmod u+w {} \;
"Find all files in the current directory and its subdirectories, calculate the MD5 checksum for each file, and sort the results by unique values.",find ~ -type f -exec md5sum {} \; | sort -u
Find the file with the least number of lines in the current directory and its subdirectories.,find . -type f | xargs wc -l | sort -n | head -n1
Search the entire file system for files with the extension ".txt" and highlight the word "foobar" in the results.,find / -name "*.txt" | xargs grep --color 'foobar'
"Find all files with the extension .txt or .sh, and execute the touch command on each of them.",find . -name '*.txt' -o -name '*.sh' -type f -exec touch {} \;
Find all files in the current year (as indicated by the date command) and search for any string in those files.,find $(date +%Y) -maxdepth 1 -type f | xargs grep ".*"
"Create a compressed tar file with the current date and time as the file name, containing the last file in a randomly sorted list of all files in the current directory.",tar -cvzf $(date '+%m_%d_%y_%H_%M').tgz $(ls -A | sort -R | tail -n 1)
Find all files with the extension .mp3 and create a directory for each of them.,find -name *.mp3 | xargs mkdir
"Find all files and directories in the current directory and its subdirectories, and change the permissions to remove all permissions for all users except the owner, and give the owner read, write, and execute permissions.","find . -exec chmod -go-rwx,u+rwx {} +"
Randomly select a number between 1 and 100 and use it to download the file "file.txt" from the website "example.com".,shuf -i 1-100 -n 1 | xargs curl -O http://example.com/file.txt
"Find all files with the extension "".log"", list their details using the ""ls -al"" command, sort them randomly, and display the first one.",find -name "*.log" -exec ls -al {} \; | sort --random-sort | head -1
